"# Program:featureCounts v2.0.0; Command:""featureCounts"" ""-T"" ""2"" ""-a"" ""/home/mahogny/mystore/ref_genome/pberghei/PlasmoDB-46_PbergheiANKA.gtf"" ""-o"" ""count.csv"" ""samp376_S376_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp49_S49_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp50_S50_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp51_S51_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp58_S58_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp59_S59_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp60_S60_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp61_S61_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp62_S62_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp63_S63_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp64_S64_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp65_S65_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp75_S75_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp76_S76_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp77_S77_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp78_S78_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp79_S79_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam"" ""samp80_S80_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam""";;;;;;;;;;;;;;;;;;;;;;;
Geneid;Chr;Start;End;Strand;Length;samp376_S376_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp49_S49_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp50_S50_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp51_S51_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp58_S58_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp59_S59_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp60_S60_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp61_S61_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp62_S62_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp63_S63_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp64_S64_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp65_S65_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp75_S75_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp76_S76_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp77_S77_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp78_S78_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp79_S79_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam;samp80_S80_LOUT_R1_001.fastq.gzAligned.sortedByCoord.out.bam
PBANKA_0212000;PbANKA_02_v3;436210;441618;+;5409;568;149;16;20;169;176;129;125;163;119;2;0;2;13;7;8;17;0
PBANKA_0212100;"PbANKA_02_v3;PbANKA_02_v3";"442872;444002";"443701;444152";"-;-";981;1167;88;174;6;144;165;125;34;125;28;4;8;18;193;140;153;241;36
PBANKA_0212200;PbANKA_02_v3;445464;460922;-;15459;3818;405;366;516;810;775;768;300;687;322;42;5;31;58;40;40;61;15
PBANKA_0212300;"PbANKA_02_v3;PbANKA_02_v3";"462404;462644";"462467;464199";"+;+";1620;430;72;42;28;94;117;79;32;98;59;13;0;2;6;8;8;6;0
PBANKA_0212400;PbANKA_02_v3;464787;465497;-;711;212;72;59;18;87;27;64;38;72;44;1;0;2;25;17;40;61;15
PBANKA_0212500;"PbANKA_02_v3;PbANKA_02_v3";"466326;466560";"466433;466832";"+;+";381;61;59;11;0;38;24;30;14;10;26;2;0;0;9;8;4;5;2
PBANKA_0212600;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"467067;467214;467401;467779;468058";"467114;467311;467543;467870;468072";"-;-;-;-;-";396;176;34;0;0;18;8;27;8;31;1;0;0;1;1;6;0;0;1
PBANKA_0212700;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"469835;474623;475021;475504;475703";"474485;474803;475368;475585;475726";"+;+;+;+;+";5286;1307;198;190;120;211;389;138;134;235;99;12;1;25;50;37;16;25;10
PBANKA_0212800;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"476469;477700;477947;478920";"477240;477800;478708;478970";"-;-;-;-";1686;1383;127;63;128;129;113;127;99;110;92;25;0;45;18;4;6;14;4
PBANKA_0212900;"PbANKA_02_v3;PbANKA_02_v3";"480543;482111";"481703;482143";"+;+";1194;544;78;76;125;120;193;118;60;118;131;7;0;36;22;28;17;18;6
PBANKA_0213000;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"482223;482444;482610;482759;482999;483209;483361;483649";"482276;482493;482667;482851;483064;483253;483414;484809";"-;-;-;-;-;-;-;-";1581;946;131;20;97;46;132;148;54;207;68;7;3;23;59;24;19;18;8
PBANKA_0213100;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"485406;485944;486112;486344;486620";"485406;486014;486180;486464;486660";"+;+;+;+;+";303;259;53;39;20;53;98;31;37;109;13;2;0;1;25;25;1;17;2
PBANKA_0213200;PbANKA_02_v3;487985;495028;+;7044;4614;497;400;535;601;1085;489;282;631;320;39;0;16;70;94;68;113;25
PBANKA_0213300;"PbANKA_02_v3;PbANKA_02_v3";"496254;496626";"496460;497156";"+;+";738;420;64;84;42;68;107;131;49;184;53;8;0;2;20;16;13;14;2
PBANKA_0213400;PbANKA_02_v3;497780;500251;-;2472;2961;385;361;330;306;298;305;187;329;192;14;1;28;41;57;52;97;18
PBANKA_0213500;PbANKA_02_v3;501505;502554;+;1050;756;110;153;186;165;230;137;34;137;46;4;0;14;51;31;37;92;23
PBANKA_0213600;PbANKA_02_v3;503640;506075;+;2436;4493;468;553;506;475;339;363;183;264;333;22;1;12;46;37;12;26;17
PBANKA_0213700;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"507354;507720;508004;508219;508460";"507519;507786;508118;508322;508499";"+;+;+;+;+";492;440;111;48;79;76;87;53;24;66;49;5;0;0;17;38;12;31;9
PBANKA_0213800;"PbANKA_02_v3;PbANKA_02_v3";"508715;510013";"509832;511213";"-;-";2319;1125;217;72;237;83;313;206;74;188;92;12;0;6;11;3;6;14;0
PBANKA_0213900;PbANKA_02_v3;512827;513120;+;294;159;12;16;0;10;18;30;1;42;14;2;0;55;2;0;2;0;0
PBANKA_0214000;"PbANKA_02_v3;PbANKA_02_v3";"514747;529798";"529677;530043";"+;+";15177;18373;1304;1850;2129;1817;2220;1844;718;2189;1025;121;0;427;96;48;1;1;0
PBANKA_0214100;"PbANKA_02_v3;PbANKA_02_v3";"530402;530786";"530547;530888";"-;-";249;119;42;13;0;33;155;33;8;31;21;2;0;5;3;8;4;4;5
PBANKA_0214200;PbANKA_02_v3;531512;533986;+;2475;2269;154;323;310;224;356;184;106;227;104;16;0;6;29;18;26;39;12
PBANKA_0214300;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"534570;536398;537381;537802";"536216;537206;537588;537816";"-;-;-;-";2679;3386;321;599;356;288;780;420;211;409;162;42;0;1;28;40;13;45;12
PBANKA_0214400;PbANKA_02_v3;543241;547059;+;3819;4239;479;474;510;404;677;364;282;389;271;29;0;82;97;48;62;119;34
PBANKA_0214500;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"549040;549312;549671";"549219;549452;549826";"+;+;+";477;552;121;122;70;97;59;93;40;96;79;7;0;118;31;8;6;5;1
PBANKA_0214521;PbANKA_02_v3;550312;550384;+;73;263;512;483;382;562;503;637;257;669;327;35;0;0;0;0;0;0;0
PBANKA_0214531;PbANKA_02_v3;550904;550975;-;72;833;667;1127;664;844;1005;989;337;1013;683;38;0;0;0;0;0;0;1
PBANKA_0214550;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"552819;553025;553205;553472";"552875;553203;553469;553702";"+;+;+;+";732;951;55;93;195;87;78;119;64;76;36;17;0;0;0;2;0;1;0
PBANKA_0214600;"PbANKA_02_v3;PbANKA_02_v3";"555543;555864";"555761;558710";"+;+";3066;2329;299;276;146;235;166;280;133;251;124;10;0;2;4;0;2;2;2
PBANKA_0214700;"PbANKA_02_v3;PbANKA_02_v3";"561706;562029";"561819;563261";"+;+";1347;754;119;215;200;79;269;150;57;143;109;7;0;11;6;5;0;2;0
PBANKA_0214800;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"564778;565608;566162;566415";"565355;565998;566284;566528";"-;-;-;-";1206;2075;248;186;157;180;193;209;101;157;83;8;0;0;6;0;5;2;2
PBANKA_0214900;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"567781;568017;568333;568590;568751;569144";"567876;568235;568442;568659;568973;569274";"-;-;-;-;-;-";849;1023;152;144;60;178;179;224;44;185;133;10;0;0;2;0;0;0;0
PBANKA_0214951;"PbANKA_02_v3;PbANKA_02_v3";"571292;571522";"571441;571803";"-;-";432;64;3;0;0;0;0;0;1;12;0;4;0;0;0;0;0;0;0
PBANKA_0215700;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"575493;575641;576545";"575507;576456;576610";"+;+;+";897;596;56;80;130;121;141;54;20;156;37;4;0;0;0;0;0;0;0
PBANKA_0215800;"PbANKA_02_v3;PbANKA_02_v3";"578486;578728";"578554;579402";"+;+";744;195;4;72;58;50;56;33;15;53;32;0;0;0;0;0;0;0;0
PBANKA_0215900;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"582044;582187;583038;583159";"582061;583035;583055;583293";"+;+;+;+";1020;754;90;117;152;45;120;124;24;95;34;3;0;0;0;0;0;0;0
PBANKA_0216000;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"585291;585428;586826";"585305;586738;587212";"+;+;+";1713;826;182;166;140;134;306;152;114;150;163;2;0;0;0;2;0;0;0
PBANKA_0216021;PbANKA_02_v3;591354;592130;-;777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0216041;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"593515;593879;594151;594399";"593640;594148;594396;594725";"+;+;+;+";969;104;37;0;108;32;24;11;15;41;12;1;0;0;0;0;0;0;0
PBANKA_0216061;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"597154;597288;598116";"597168;598031;598205";"+;+;+";849;74;7;0;17;56;53;21;16;31;14;0;0;0;0;0;0;0;0
PBANKA_0216081;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"599663;599811;599894;600177;600424;600707";"599722;599891;600175;600422;600615;600724";"-;-;-;-;-;-";879;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0216701;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"601816;602121;602437;602658;602872;603297";"601904;602355;602506;602767;603105;603353";"+;+;+;+;+;+";795;119;0;0;26;11;0;12;2;32;0;1;0;0;0;0;0;0;0
PBANKA_0216721;"PbANKA_02_v3;PbANKA_02_v3";"604722;604981";"604808;605352";"+;+";459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PBANKA_0216741;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"608692;608871;609057;609349";"608868;609055;609346;610004";"+;+;+;+";1308;808;77;120;138;91;160;32;27;143;50;8;0;0;0;0;0;0;0
PBANKA_0216761;"PbANKA_02_v3;PbANKA_02_v3";"612280;612433";"612334;614216";"+;+";1839;684;107;121;112;145;90;166;62;120;77;14;0;0;0;0;0;0;0
PBANKA_0216781;"PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3;PbANKA_02_v3";"614765;615063;615375;615650;615799;616218";"614869;615296;615484;615719;616051;616333";"-;-;-;-;-;-";888;1303;157;129;154;172;268;192;57;213;68;11;0;0;4;0;0;0;0
PBANKA_0216801;"PbANKA_02_v3;PbANKA_02_v3";"617750;621567";"621438;621636";"-;-";3759;1287;256;104;252;190;354;347;127;255;55;24;0;0;0;2;0;0;2
PBANKA_0300100;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"239;775;2969";"664;2847;2995";"-;-;-";2526;2388;401;567;461;590;593;488;203;413;218;22;0;0;0;1;0;4;0
PBANKA_0300200;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"5045;5219;6211";"5116;6085;6225";"-;-;-";954;361;73;54;42;100;93;99;38;123;66;12;0;0;0;0;0;0;0
PBANKA_0300300;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"8909;9097;10040";"8995;9933;10054";"-;-;-";939;378;63;22;74;65;82;67;53;91;29;1;0;4;0;0;0;0;0
PBANKA_0300400;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"12739;12889;13188;13730;13909";"12801;13185;13727;13780;13917";"-;-;-;-;-";960;474;61;138;96;187;68;18;8;106;26;8;0;0;0;0;0;0;0
PBANKA_0300500;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"15290;15446;15741;16741";"15358;15739;16568;16761";"-;-;-;-";1212;610;82;86;102;120;70;122;64;50;49;0;0;0;0;0;0;0;0
PBANKA_0300600;"PbANKA_03_v3;PbANKA_03_v3";"19615;21788";"21465;21889";"-;-";1953;3083;251;304;303;352;383;218;89;239;130;21;0;0;0;0;0;1;0
PBANKA_0300700;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"23740;24062;24247";"23919;24144;27367";"-;-;-";3384;1114;273;146;147;73;175;187;69;184;56;3;0;2;8;4;7;8;6
PBANKA_0300800;PbANKA_03_v3;28242;29867;+;1626;770;80;152;20;62;257;127;91;99;106;16;0;3;22;2;2;12;2
PBANKA_0300900;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"30365;30486;30811;31066";"30383;30711;30891;31102";"-;-;-;-";363;59;6;28;0;3;31;29;22;13;3;6;0;7;7;0;2;0;2
PBANKA_0301000;PbANKA_03_v3;31915;36786;-;4872;564;166;108;107;85;106;180;46;121;96;6;0;8;10;8;0;3;0
PBANKA_0301100;PbANKA_03_v3;39180;40385;-;1206;272;30;44;70;31;44;89;28;38;9;2;0;7;20;10;14;12;2
PBANKA_0301200;PbANKA_03_v3;41130;41777;+;648;241;1;40;168;18;56;10;14;20;6;0;0;4;1;2;2;3;0
PBANKA_0301300;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"42182;42295;42640;43081";"42195;42462;42729;43084";"-;-;-;-";276;83;28;32;30;3;8;44;18;22;11;0;0;0;48;56;64;89;23
PBANKA_0301351;PbANKA_03_v3;44671;44742;+;72;274;206;192;180;168;212;202;47;190;123;12;0;0;0;0;0;0;0
PBANKA_0301400;PbANKA_03_v3;45915;47393;+;1479;614;148;46;206;116;238;58;37;37;25;3;0;0;2;0;0;4;2
PBANKA_0301500;"PbANKA_03_v3;PbANKA_03_v3";"48172;48336";"48209;49347";"-;-";1050;546;151;74;151;67;65;130;22;139;47;4;0;18;41;41;28;72;6
PBANKA_0301600;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"50728;51039;51230;51730;51903;52063;52281;52460;52709;52929;53063;53204";"50931;51134;51597;51826;51941;52170;52352;52550;52820;52970;53111;53602";"-;-;-;-;-;-;-;-;-;-;-;-";1677;542;174;55;80;84;96;125;53;146;66;1;0;12;10;7;10;18;6
PBANKA_0301700;PbANKA_03_v3;54902;56263;+;1362;318;45;0;153;61;162;31;23;27;35;0;0;0;0;6;2;0;0
PBANKA_0301800;"PbANKA_03_v3;PbANKA_03_v3";"56946;58974";"58849;59397";"+;+";2328;529;56;44;108;46;70;43;16;118;23;0;0;4;0;0;0;1;0
PBANKA_0301900;PbANKA_03_v3;59868;65258;-;5391;647;214;128;114;141;323;162;93;172;113;8;0;59;28;20;12;4;6
PBANKA_0302000;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"67983;68559;68897;69053;69385";"68365;68721;68966;69228;69423";"+;+;+;+;+";831;299;48;47;70;48;79;37;43;40;47;5;0;0;7;6;7;18;2
PBANKA_0302100;PbANKA_03_v3;70066;72033;-;1968;451;16;0;46;39;83;84;38;63;42;2;0;2;4;2;8;8;2
PBANKA_0302200;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"72431;72638;72871;73168";"72493;72736;72972;73227";"-;-;-;-";324;323;36;32;6;39;47;57;0;18;9;0;0;0;0;1;0;3;0
PBANKA_0302300;PbANKA_03_v3;74002;75234;-;1233;754;168;126;86;144;371;245;76;161;94;5;0;7;19;20;7;17;4
PBANKA_0302400;PbANKA_03_v3;76581;79532;-;2952;205;103;50;184;94;59;77;22;38;43;12;0;2;27;11;9;14;6
PBANKA_0302500;PbANKA_03_v3;80750;82267;-;1518;2507;156;280;228;159;203;244;67;460;166;8;0;0;16;8;6;10;3
PBANKA_0302600;PbANKA_03_v3;83967;85118;-;1152;256;42;14;0;15;23;57;7;65;39;4;0;117;5;14;7;18;3
PBANKA_0302700;"PbANKA_03_v3;PbANKA_03_v3";"85780;86148";"85906;87109";"+;+";1089;261;85;14;48;16;86;71;39;43;28;0;0;2;8;3;5;15;4
PBANKA_0302800;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"87712;88567;89199;89320;89647";"88466;89055;89222;89537;89648";"-;-;-;-;-";1488;623;63;101;56;68;161;114;36;23;78;3;0;0;4;2;0;6;6
PBANKA_0302900;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"89952;90367;90661;90950";"90176;90500;90837;91007";"-;-;-;-";594;110;1;42;0;0;0;9;1;24;9;0;0;0;0;0;0;0;0
PBANKA_0303000;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"91934;93162;93354;93624;93918;94239";"93045;93255;93449;93792;94078;94310";"+;+;+;+;+;+";1704;414;37;72;9;82;38;90;49;64;15;0;0;0;0;0;0;0;0
PBANKA_0303100;PbANKA_03_v3;95592;96947;+;1356;307;50;12;0;42;40;142;44;35;35;0;0;4;24;18;15;29;4
PBANKA_0303200;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"97434;97762;97937";"97686;97858;97988";"-;-;-";402;477;40;80;24;10;65;37;6;23;19;2;0;3;33;19;15;31;8
PBANKA_0303300;PbANKA_03_v3;100992;102851;+;1860;425;97;88;36;76;110;119;33;155;20;3;0;0;4;2;5;6;4
PBANKA_0303400;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"104205;104397;104618;104879;105261";"104298;104497;104699;105101;105369";"+;+;+;+;+";609;173;58;0;0;17;101;44;36;14;7;3;0;4;27;16;16;30;8
PBANKA_0303500;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"105623;105755;106064";"105672;105926;106210";"-;-;-";369;208;26;22;17;36;0;28;31;10;32;0;0;5;8;13;0;6;2
PBANKA_0303600;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"107784;108026;110903;111141";"107804;110791;111017;111220";"+;+;+;+";2982;3688;317;335;334;347;376;243;126;277;231;7;0;7;141;101;49;151;20
PBANKA_0303700;PbANKA_03_v3;111484;115347;-;3864;1703;301;258;322;199;308;215;99;263;129;11;0;10;41;38;58;99;15
PBANKA_0303800;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"116265;116843;117031;117202";"116638;116921;117112;117410";"+;+;+;+";744;263;29;39;72;18;47;84;18;47;24;0;0;92;10;10;13;4;0
PBANKA_0303900;PbANKA_03_v3;119590;121215;+;1626;2114;116;156;264;99;296;158;89;118;136;4;0;5;7;2;0;4;0
PBANKA_0304000;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"122433;122833;123583;123776";"122558;123436;123672;128889";"+;+;+;+";5934;605;195;44;130;156;321;168;99;218;103;22;0;2;15;10;4;4;0
PBANKA_0304100;PbANKA_03_v3;129264;132356;-;3093;955;79;150;122;84;298;170;36;70;64;6;0;4;0;6;4;4;2
PBANKA_0304200;"PbANKA_03_v3;PbANKA_03_v3";"134644;134918";"134765;135116";"-;-";321;127;8;0;58;13;16;46;5;15;12;2;0;0;6;6;3;3;1
PBANKA_0304300;PbANKA_03_v3;136142;137515;+;1374;657;28;136;140;63;122;136;40;184;41;6;0;0;2;3;2;20;0
PBANKA_0304400;"PbANKA_03_v3;PbANKA_03_v3";"137777;138141";"138042;138480";"-;-";606;1121;3;60;160;82;44;78;7;71;26;3;2;4;16;13;6;21;0
PBANKA_0304500;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"141623;146613;146785";"146450;146675;146846";"+;+;+";4953;1371;190;161;218;111;125;128;97;157;138;18;0;202;45;30;6;44;6
PBANKA_0304600;PbANKA_03_v3;147576;148130;-;555;162;22;38;38;6;11;23;3;14;21;2;0;3;8;8;13;15;6
PBANKA_0304700;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"149412;149770;151053;151767;152019;152402";"149593;150935;151588;151819;152177;152465";"-;-;-;-;-;-";2160;1928;87;139;82;209;202;176;113;188;146;22;0;664;79;27;2;3;0
PBANKA_0304800;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"153928;156093;156321;157102";"155987;156227;156863;157135";"-;-;-;-";2772;1771;192;110;99;154;221;171;88;172;141;6;0;34;19;8;2;3;6
PBANKA_0304900;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"158235;160553;160831;161917";"160423;160687;161763;161950";"-;-;-;-";3291;5267;313;588;620;368;570;602;214;339;217;31;0;0;16;11;2;22;2
PBANKA_0305000;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"163296;165631;165894;167094";"165514;165771;166868;167127";"-;-;-;-";3369;4301;384;519;548;417;330;375;211;596;249;23;0;2;12;6;0;14;0
PBANKA_0305100;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"168669;171183;171443;173304";"171058;171323;173101;173334";"-;-;-;-";4221;8308;368;1463;711;739;904;601;337;852;500;43;0;32;116;86;18;58;6
PBANKA_0305200;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"175108;175319;175474;175698;176007;176154;176357;176559;176765;177013;177379;177662;177838;178166;178329;178580";"175197;175355;175565;175821;176075;176224;176418;176631;176838;177278;177470;177704;178069;178243;178398;181666";"+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+";4560;1741;228;197;257;311;203;361;145;226;190;21;0;8;12;14;6;15;2
PBANKA_0305300;PbANKA_03_v3;182052;182948;-;897;312;66;10;18;59;45;9;33;29;27;10;0;9;26;21;28;44;14
PBANKA_0305400;PbANKA_03_v3;183881;188383;+;4503;544;172;102;68;127;50;179;73;96;62;16;0;3;26;18;5;15;8
PBANKA_0305500;PbANKA_03_v3;188501;191917;-;3417;336;130;68;54;85;251;82;43;104;90;8;0;8;15;20;8;21;3
PBANKA_0305600;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"194325;194465;194767";"194385;194670;194919";"+;+;+";420;375;57;53;88;42;29;70;11;71;3;0;2;0;31;15;13;17;6
PBANKA_0305700;PbANKA_03_v3;195923;197128;+;1206;92;43;25;4;18;109;47;13;42;28;1;0;7;19;12;15;31;4
PBANKA_0305800;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"197497;197719;197872;198089;198400;198573;198864";"197548;197783;197984;198243;198480;198690;198948";"-;-;-;-;-;-;-";669;294;67;77;67;44;132;131;25;9;39;2;0;3;55;54;29;35;27
PBANKA_0305900;PbANKA_03_v3;199807;200463;+;657;231;3;11;36;52;48;82;6;42;6;2;0;0;26;32;3;41;3
PBANKA_0306000;PbANKA_03_v3;201621;208484;+;6864;2617;367;320;186;298;434;371;138;271;236;4;0;4;32;32;10;3;0
PBANKA_0306100;PbANKA_03_v3;209919;218189;+;8271;4823;358;316;214;528;492;462;218;310;375;16;0;4;6;0;2;2;0
PBANKA_0306200;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"219252;220380;221275";"220293;221029;221667";"-;-;-";2085;1578;346;247;299;209;394;265;156;177;167;9;0;10;19;10;4;9;4
PBANKA_0306300;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"223112;223388;223800;223969;224209;224451;224708;224904";"223222;223513;223859;224057;224323;224553;224786;225036";"-;-;-;-;-;-;-;-";816;410;82;52;23;57;138;104;64;65;67;4;0;2;20;17;14;13;16
PBANKA_0306400;"PbANKA_03_v3;PbANKA_03_v3";"225778;226526";"226432;226611";"+;+";741;296;36;52;175;50;75;110;45;74;29;3;0;15;17;12;4;9;0
PBANKA_0306500;"PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3;PbANKA_03_v3";"226723;226906;227100;227455;227742;228095;229038";"226762;226974;227317;227523;227933;228763;229145";"-;-;-;-;-;-;-";1365;661;203;62;93;95;256;80;22;93;37;7;0;22;26;20;14;28;6
PBANKA_0306600;PbANKA_03_v3;229839;231290;-;1452;534;39;80;21;131;104;61;50;113;26;0;4;671;52;28;7;16;1
