Pathways	Pvals	Pathway size	Number of genes found in pathway	FDR	Genes
Schematic representations of protein S-acyl transferases and their salient protein features	0.2727355890030493	11	0	0.5255634707795986	
The structure of translation initiation factor 3	0.2727355890030493	11	0	0.5255634707795986	
Acetylation recognition by the bromodomain and other modules	0.2727355890030493	11	0	0.5255634707795986	
Working model for recognition of a stalled ribosome by recycling factors	0.2727355890030493	11	0	0.5255634707795986	
Recruitment of the exosome to mRNA substrates	0.29351969141480505	12	0	0.5515245447224807	
Mechanisms controlling RBP binding	0.29351969141480505	12	0	0.5515245447224807	
Selenocysteine biosynthesis	0.29351969141480505	12	0	0.5515245447224807	
N-glycans biosynthesis	0.29351969141480505	12	0	0.5515245447224807	
Lipolytic enzymes	0.29351969141480505	12	0	0.5515245447224807	
Domain structures of the putative lipolytic enzymes	0.29351969141480505	12	0	0.5515245447224807	
gp78 and Hrd1-mediated ERAD pathways	0.29351969141480505	12	0	0.5515245447224807	
Hsp90-associated multiprotein complex (R2TP-Hsp90 complex)	0.2952714806507779	38	1	0.5528487297291161	PBANKA_0832500
Phosphatome - Phosphatases of Plasmodium falciparum	0.2982142580048819	67	2	0.5563856121080482	PBANKA_1441100, PBANKA_0604700
Schematic depiction of pseudouridylation	0.31371479141303715	13	0	0.5634061560070872	
Model for translesion DNA synthesis	0.31371479141303715	13	0	0.5634061560070872	
Thiamine metabolism	0.31371479141303715	13	0	0.5634061560070872	
Crosstalk between ubiquitination and SUMOylation	0.31371479141303715	13	0	0.5634061560070872	
V-ATPase	0.31371479141303715	13	0	0.5634061560070872	
Terpenoid metabolism	0.31371479141303715	13	0	0.5634061560070872	
Genetic polymorphisms in target-genes at and surrounding resistant linked mutations	0.31371479141303715	13	0	0.5634061560070872	
Synergism between SWR1, HIRA and FACT in histone variant exchange	0.31371479141303715	13	0	0.5634061560070872	
Pathway for Cytoplasmic 40S maturation	0.31371479141303715	13	0	0.5634061560070872	
Model of PfEMP1 export	0.31371479141303715	13	0	0.5634061560070872	
G6PD deficiency and malaria	0.31371479141303715	13	0	0.5634061560070872	
Classical clathrin-mediated vesicular transport	0.31652827616893564	40	1	0.5641095133876273	PBANKA_1414700
Genes coding for chaperones and their regulators	0.31755145036024945	131	4	0.5641095133876273	PBANKA_0310000, PBANKA_0204200, PBANKA_1038700, PBANKA_0618400
Peptides with confirmed methylated lysine residues	0.3176090937408147	259	8	0.5641095133876273	PBANKA_1216800, PBANKA_1235600, PBANKA_0716500, PBANKA_0404300, PBANKA_1304400, PBANKA_0811100, PBANKA_1212600, PBANKA_0820300
Essential metabolic genes	0.32186879379283817	70	2	0.5641095133876273	PBANKA_1034400, PBANKA_1340400
RNA Degradation Factors	0.3271064649367459	41	1	0.5641095133876273	PBANKA_0811100
S-Glutathionylated proteins	0.3311737744465777	328	10	0.5641095133876273	PBANKA_1441100, PBANKA_1235600, PBANKA_0203000, PBANKA_1030100, PBANKA_0827500, PBANKA_0310000, PBANKA_1034400, PBANKA_1210900, PBANKA_0820300, PBANKA_0204200
Generation of polyphosphates	0.3333374397290525	14	0	0.5641095133876273	
Domains of merozoite surface proteins	0.3333374397290525	14	0	0.5641095133876273	
Organellar distribution of translation components	0.3333374397290525	14	0	0.5641095133876273	
Cdc48 is the driving force in the targeting of the ER-substrates to the 26S-proteasome	0.3333374397290525	14	0	0.5641095133876273	
Localization of the key cyclic nucleotide signaling components in a merozoite prior to egress	0.3333374397290525	14	0	0.5641095133876273	
GARP (Golgi-associated retrograde protein) complex	0.3333374397290525	14	0	0.5641095133876273	
Pathway for Cytoplasmic 60S maturation	0.3333374397290525	14	0	0.5641095133876273	
The neddylation pathway	0.3333374397290525	14	0	0.5641095133876273	
Leucine, Isoleucine and Valine metabolism	0.3333374397290525	14	0	0.5641095133876273	
Merozoite protein complexes	0.3333374397290525	14	0	0.5641095133876273	
Fatty acids elongation in the mitochondrion	0.3333374397290525	14	0	0.5641095133876273	
Isoprenoids metabolism	0.3333374397290525	14	0	0.5641095133876273	
Encoded proteins that could be constituents of P-bodies	0.3376423173206795	42	1	0.567683089430764	PBANKA_0716500
Protein phosphorylation	0.34554738799083684	73	2	0.567683089430764	PBANKA_0409400, PBANKA_0604700
Proteins predicted to be involved in cell cycle regulatory network	0.3481296844227828	43	1	0.567683089430764	PBANKA_0310000
Proteins with ER retention sequences	0.35240372596523406	15	0	0.567683089430764	
Glutamate metabolism	0.35240372596523406	15	0	0.567683089430764	
Rab proteins	0.35240372596523406	15	0	0.567683089430764	
Signal recognition particle-mediated targeting of membrane and secretory proteins	0.35240372596523406	15	0	0.567683089430764	
ADP ribosylation factors functions in the secretory pathway	0.35240372596523406	15	0	0.567683089430764	
Endosome maturation	0.35240372596523406	15	0	0.567683089430764	
Vacuole biogenesis and ER proliferation	0.35240372596523406	15	0	0.567683089430764	
Palmitoylation�depalmitoylation cycle in eukaryotic cells	0.35240372596523406	15	0	0.567683089430764	
O-fucosylation and C-mannosylation on TSR repeats	0.35240372596523406	15	0	0.567683089430764	
ER Sec61 translocon	0.35240372596523406	15	0	0.567683089430764	
Maturation of snRNAs requires nuclear and cytoplasmic regulatory steps	0.35240372596523406	15	0	0.567683089430764	
Proteasome-mediated degradation of non-native ER proteins	0.3585627960437445	44	1	0.567683089430764	PBANKA_0517700
Parasite encoded proteins associated with the membrane of infected erythrocytes	0.3585627960437445	44	1	0.567683089430764	PBANKA_0310000
Transcriptomic and metabolic alterations in fosmidomycin-treated parasite	0.3613030585736955	75	2	0.567683089430764	PBANKA_1010800, PBANKA_1356200
Methyl�Methanesulfonate  - effect of drug on gene transcription	0.3689362444274846	45	1	0.567683089430764	PBANKA_1216800
Highest expressed genes based on mRNA abundance	0.36904815185819295	140	4	0.567683089430764	PBANKA_1034400, PBANKA_1441100, PBANKA_0310000, PBANKA_1030100
Established and putative Maurer�s clefts proteins	0.36916273242054687	76	2	0.567683089430764	PBANKA_1216800, PBANKA_0310000
Chaperone-assisted protein folding	0.36916273242054687	76	2	0.567683089430764	PBANKA_0204200, PBANKA_0310000
Maturation of cytosolic and nuclear Fe-S proteins	0.37092929138941966	16	0	0.567683089430764	
Glycosylphosphatidylinositol (GPI) anchor biosynthesis	0.37092929138941966	16	0	0.567683089430764	
Autophagy and autophagy-related pathways	0.37092929138941966	16	0	0.567683089430764	
Biogenesis and functions of mitochondrial cytochrome c	0.37092929138941966	16	0	0.567683089430764	
Activation of the calcium and cAMP signaling pathway by melatonin	0.37092929138941966	16	0	0.567683089430764	
Protein arginine methylation	0.37092929138941966	16	0	0.567683089430764	
Mechanisms of alternative splicing regulation at the transition from exon definition to intron definition	0.37092929138941966	16	0	0.567683089430764	
Mitochondrial copper transport pathways to cytochrome C oxidase subunits	0.37092929138941966	16	0	0.567683089430764	
Models for ubiquitin (Ub) chain amputation and trimming in regulating proteasomal degradation	0.37092929138941966	16	0	0.567683089430764	
Mechanism of ubiquitin transfer	0.37092929138941966	16	0	0.567683089430764	
Domains binding modified histones	0.37092929138941966	16	0	0.567683089430764	
Pre-ribosomal particles along the 40S assembly pathway	0.37092929138941966	16	0	0.567683089430764	
ER-to Golgi, translocation and quality control	0.37924496857925605	46	1	0.5787322063868416	PBANKA_0414500
Molecular markers of resistance to antimalarial drugs	0.38892934126190004	17	0	0.5909416043318666	
Components of the linear motor responsible for merozoite motility in invasion	0.3894842392187302	47	1	0.5909416043318666	PBANKA_1030100
Single Gene/enzyme deletions predicted to cause impairment of metabolic networks	0.39721186593747526	178	5	0.6009394418767534	PBANKA_1235600, PBANKA_1340400, PBANKA_0827500, PBANKA_1362100, PBANKA_1210900
Import and export through the nuclear pore	0.40641865693674395	18	0	0.60447619961296	
SNAREs are traffic-specific	0.40641865693674395	18	0	0.60447619961296	
Potential models for lncRNA-TARE at chromosome ends	0.40641865693674395	18	0	0.60447619961296	
A model for UbpX function in the regulation of PCNA deubiquitylation	0.40641865693674395	18	0	0.60447619961296	
Porphyrin metabolism	0.40641865693674395	18	0	0.60447619961296	
Molecular model of vesicle exocytosis	0.40641865693674395	18	0	0.60447619961296	
Co-inhibition of S-adenosylmethionine decarboxylase/ornithine decarboxylase effect on gene expression	0.41721286422353	317	9	0.6141794746556255	PBANKA_0824400, PBANKA_0414500, PBANKA_1235600, PBANKA_1349400, PBANKA_0203000, PBANKA_1034100, PBANKA_1402400, PBANKA_0208300, PBANKA_1433200
Model for ubiquitin-mediated regulation of Ras	0.41974271151416975	50	1	0.6141794746556255	PBANKA_0517700
Cleavage and polyadenylation of pre-mRNA	0.4234116075277419	19	0	0.6141794746556255	
Temporal regulation of Rap	0.4234116075277419	19	0	0.6141794746556255	
Phosphatidylcholine metabolism	0.4234116075277419	19	0	0.6141794746556255	
Mitochondrial antioxidant system	0.4234116075277419	19	0	0.6141794746556255	
Ribosome-associated protein quality control	0.4234116075277419	19	0	0.6141794746556255	
cGMP/PKG signalling in egress/invasion	0.4234116075277419	19	0	0.6141794746556255	
Sphingomyelin and ceramide metabolism	0.4234116075277419	19	0	0.6141794746556255	
Atovaquone - effect of drug on gene transcription	0.4312443176284082	84	2	0.6161244063405145	PBANKA_0310000, PBANKA_0404300
Chloroquine - effect of drug on gene transcription	0.4312443176284082	84	2	0.6161244063405145	PBANKA_0510600, PBANKA_1216800
Transcription related proteins encoding genes	0.4321252502973163	151	4	0.6161244063405145	PBANKA_1135500, PBANKA_0938900, PBANKA_0203000, PBANKA_0312700
Essential genes of parasitic apicomplexa - P. falciparum	0.4346471570158802	838	24	0.6161244063405145	PBANKA_0824600, PBANKA_0312700, PBANKA_0811800, PBANKA_0832500, PBANKA_0102400, PBANKA_1212600, PBANKA_0708100, PBANKA_0409400, PBANKA_0805900, PBANKA_0404300, PBANKA_0106200, PBANKA_1210900, PBANKA_0933700, PBANKA_1442800, PBANKA_0716500, PBANKA_0832400, PBANKA_1135500, PBANKA_1019000, PBANKA_0940200, PBANKA_0510600, PBANKA_0405600, PBANKA_1018300, PBANKA_0202700, PBANKA_1431500
Protein kinase G-dependent phosphorylation in schizonts	0.43949469953560194	52	1	0.6161244063405145	PBANKA_0414500
Glutathione metabolism	0.4399221613454052	20	0	0.6161244063405145	
Pyruvate metabolism	0.4399221613454052	20	0	0.6161244063405145	
Calcium � calmodulin activation of protein kinases	0.4399221613454052	20	0	0.6161244063405145	
Enzyme involved in protein degradation within mitochondria	0.4399221613454052	20	0	0.6161244063405145	
Phosphoinositides and membrane traffic	0.4399221613454052	20	0	0.6161244063405145	
Exon definition during the earliest stages of spliceosome assembly	0.4399221613454052	20	0	0.6161244063405145	
Merozoite ligands, their erythrocyte receptors	0.4399221613454052	20	0	0.6161244063405145	
Shared themes in cascading Rab and phosphoinositide pathways	0.4399221613454052	20	0	0.6161244063405145	
Genes involved in DNA repair	0.44645435482298623	86	2	0.6236187813400442	PBANKA_1034100, PBANKA_0312700
Arginine-methylated proteins	0.4492347474495887	53	1	0.6258468249429626	PBANKA_1030100
Genes whose expression is highly positively or negatively correlated with pfcrt or pfmdr1	0.4550474943928564	121	3	0.6269503583412002	PBANKA_1010800, PBANKA_1441100, PBANKA_1224100
Biosynthesis of Fe-S proteins in the apicoplast	0.4559638969754183	21	0	0.6269503583412002	
Rab and other proteins involved in intracellular traffic	0.4559638969754183	21	0	0.6269503583412002	
Histone mRNA degradation	0.4559638969754183	21	0	0.6269503583412002	
Resistance to experimental antimalarials generated in vitro	0.4559638969754183	21	0	0.6269503583412002	
Essential Exportome PEXEL-ome and PNEP-ome	0.4615057939757874	88	2	0.6303250820413561	PBANKA_1216800, PBANKA_0310000
Non-redundant malarial structures in the Protein Data Bank (PDB)	0.46842901760859856	55	1	0.6303250820413561	PBANKA_1034400
Protein factors in pre-mRNA 3�-end processing	0.4715500140271508	22	0	0.6303250820413561	
Pyrimidine metabolism	0.4715500140271508	22	0	0.6303250820413561	
Classical COPII-mediated vesicular transport	0.4715500140271508	22	0	0.6303250820413561	
Replication in prokaryotes � a model for apicoplast and mitochondion DNA replication	0.4715500140271508	22	0	0.6303250820413561	
In vitro resistance to experimental antimalarials	0.4715500140271508	22	0	0.6303250820413561	
Model of the Ube2w/CHIP/Ataxin-3 Ubiquitination Cycle	0.4715500140271508	22	0	0.6303250820413561	
Chromatin-associated protein degradation (CAD) regulated by CDC48�Ufd1�Npl4	0.4715500140271508	22	0	0.6303250820413561	
Plasmodium falciparum chromatin landscape	0.4715500140271508	22	0	0.6303250820413561	
SCF (Skp1-Cullin-F-box) ubiquitin-ligase	0.4715500140271508	22	0	0.6303250820413561	
Drug-target associations predicted for P. falciparum	0.4763837433803002	90	2	0.6351783245070669	PBANKA_1300500, PBANKA_1340400
Architecture, Dynamic Formation, and Processing of the 90S Pre-ribosome during Early Ribosome Biogenesis	0.4866933436629093	23	0	0.6408331308080202	
RNA polymerase III transcribes tRNA and 5S rRNA	0.4866933436629093	23	0	0.6408331308080202	
Assembly and recycling of spliceosome components with respect to Prp8	0.4866933436629093	23	0	0.6408331308080202	
Mechanisms of alternative splicing by splice site selection	0.4866933436629093	23	0	0.6408331308080202	
Pyridoxal phosphate (Vitamin B6) metabolism	0.4866933436629093	23	0	0.6408331308080202	
F0F1-ATPase	0.5014063587687841	24	0	0.6520752646057094	
Model for import of lumenal apicoplast proteins via the secretory system	0.5014063587687841	24	0	0.6520752646057094	
Inositol Phosphate metabolism	0.5014063587687841	24	0	0.6520752646057094	
pH regulation in the parasite cytosol	0.5014063587687841	24	0	0.6520752646057094	
A model for global single-strand break (SSB) repair	0.5014063587687841	24	0	0.6520752646057094	
The molecular machinery of translational regulation	0.5146429461245658	60	1	0.65770585769527	PBANKA_0811100
Biogenesis of cytochrome oxidase	0.5157011838747003	25	0	0.65770585769527	
Thioredoxin, Glutaredoxin and Peroxiredoxin	0.5157011838747003	25	0	0.65770585769527	
General roles of deubiquitinases	0.5157011838747003	25	0	0.65770585769527	
Organellar ribosome assembly proteins  and their predicted targeting	0.5157011838747003	25	0	0.65770585769527	
N-myristoylation, S-palmitoylation and prenylation of proteins	0.5157011838747003	25	0	0.65770585769527	
Rhoptry neck and bulb proteins during and after invasion	0.5157011838747003	25	0	0.65770585769527	
Hsp70 machinery interacts with J-domains	0.5157011838747003	25	0	0.65770585769527	
S-nitrosylated proteins	0.5214704819579362	273	7	0.6600109302773735	PBANKA_1441100, PBANKA_1235600, PBANKA_0203000, PBANKA_1030100, PBANKA_0310000, PBANKA_1034400, PBANKA_0204200
Gene gating and mRNA export	0.5235676584329148	61	1	0.6600109302773735	PBANKA_1216800
Isocryptolepine - effect of drug on gene transcription	0.5269045797344856	97	2	0.6600109302773735	PBANKA_1034400, PBANKA_1030100
Redox-proteome changes induced by chloroquine across the intraerythrocytic stages of�P. falciparum�Dd2	0.5295896048105091	26	0	0.6600109302773735	
Replication-coupled disassembly and reassembly of nucleosomes	0.5295896048105091	26	0	0.6600109302773735	
Carbonylated proteins at erythrocytic stages	0.5295896048105091	26	0	0.6600109302773735	
Subcellular location of adaptor proteins	0.5295896048105091	26	0	0.6600109302773735	
The structures of RNA polymerases	0.5295896048105091	26	0	0.6600109302773735	
ERAD pathway in yeast	0.5295896048105091	26	0	0.6600109302773735	
Transcripts translationally regulated in asexual blood stages	0.5300087773439514	275	7	0.6600109302773735	PBANKA_1441100, PBANKA_1224100, PBANKA_1356200, PBANKA_1030100, PBANKA_0310000, PBANKA_1034400, PBANKA_0820300
Compartmentation of redox metabolism	0.5430830780639448	27	0	0.6699716477050535	
Possible paths for apoptosis	0.5430830780639448	27	0	0.6699716477050535	
The homeostasis of Ca2+ in malaria parasites	0.5430830780639448	27	0	0.6699716477050535	
The ATG autophagic pathway	0.5430830780639448	27	0	0.6699716477050535	
U6 snRNP role in pre-mRNA splicing	0.5561927399365132	28	0	0.676658448586357	
Rab cycle	0.5561927399365132	28	0	0.676658448586357	
Transcription and processing of snRNAs	0.5561927399365132	28	0	0.676658448586357	
Histone acetylation	0.5561927399365132	28	0	0.676658448586357	
Assembly factors and their roles in quality control during ribosome maturation	0.5561927399365132	28	0	0.676658448586357	
Role of histone exchange in transcription elongation	0.5561927399365132	28	0	0.676658448586357	
Interactome of cytosolic 2-Cys peroxiredoxin	0.5613283624143091	102	2	0.6813364950684028	PBANKA_0310000, PBANKA_1030100
Iron-containing proteins	0.568033034280444	103	2	0.6842704585937156	PBANKA_1034100, PBANKA_0604700
Proteins and complexes that are involved in protein transport into the endoplasmic reticulum	0.56892941538379	29	0	0.6842704585937156	
Gametocyte IMC and plate formation	0.56892941538379	29	0	0.6842704585937156	
Spliceosome dynamics during the catalytic steps	0.56892941538379	29	0	0.6842704585937156	
Mitochondrial TCA cycle	0.5813036266737028	30	0	0.6928404399180927	
Fatty acid synthesis in the apicoplast	0.5813036266737028	30	0	0.6928404399180927	
Import of proteins into the mitochondrion	0.5813036266737028	30	0	0.6928404399180927	
Nucleotide excision repair	0.5813036266737028	30	0	0.6928404399180927	
DNA mismatch repair system	0.5933256017466171	31	0	0.6992766020585129	
Structure and processing of pre rRNA	0.5933256017466171	31	0	0.6992766020585129	
Utilization of phospholipids	0.5933256017466171	31	0	0.6992766020585129	
Model of RNA Pol II biogenesis	0.5933256017466171	31	0	0.6992766020585129	
Flavin-dependent and - containing enzymes	0.5933256017466171	31	0	0.6992766020585129	
Schematic representation of the spliceosome pathway in yeast	0.6050052824104291	32	0	0.7098728646949034	
Genes coding for Fe-S containing proteins	0.6050052824104291	32	0	0.7098728646949034	
Signifcantly altered metabolic genes  in response to hypoxanthine deprivation	0.609017695985662	184	4	0.7129963270076044	PBANKA_1210900, PBANKA_0827500, PBANKA_1034400, PBANKA_1235600
Purine metabolism	0.6163523322470505	33	0	0.7199867951912449	
Phosphopoteome - Wu et al, 2009	0.6193840825936202	111	2	0.7219311161356103	PBANKA_1034400, PBANKA_1030100
Redox Metabolism	0.6380858488253197	35	0	0.7404600619335578	
Pre-ribosomal particles along the 60S assembly pathway	0.6380858488253197	35	0	0.7404600619335578	
Genes for which expression is significantly correlated with coma score	0.6465103063658384	304	7	0.7469524209490758	PBANKA_1441100, PBANKA_0805900, PBANKA_1356200, PBANKA_1414400, PBANKA_0615200, PBANKA_1034400, PBANKA_0202700
Mechanism of Fe�S-protein biogenesis	0.648490320087357	36	0	0.7469524209490758	
Approved drugs with anti-malarial activity and their possible targets	0.648490320087357	36	0	0.7469524209490758	
Predicted protein-protein interactions of plausible stress helicases	0.6493393204841397	116	2	0.7469524209490758	PBANKA_0811100, PBANKA_0908500
Top ranked surface exposed proteins	0.6519217107075121	155	3	0.7482927462034052	PBANKA_0938900, PBANKA_1216800, PBANKA_1030100
The acidocalcisome	0.658598183957031	37	0	0.7510579722015385	
Localization of aminoacyl-tRNA ligases in the three protein translational compartments	0.658598183957031	37	0	0.7510579722015385	
Large Tethering Complexes that Act in the Secretory and Endocytic Pathways	0.658598183957031	37	0	0.7510579722015385	
Drug targets	0.6608498657262073	118	2	0.7520015713436152	PBANKA_1235600, PBANKA_1362100
Transporters of the plasma membrane	0.664988822145698	79	1	0.7525045018832438	PBANKA_0208300
Phosphatidylethanolamine and phosphatidylserine metabolism	0.6684178245894723	38	0	0.7525045018832438	
Location of lipid raft-associated proteins	0.6684178245894723	38	0	0.7525045018832438	
The ubiquitylation machineries of the ER for misfolded secretory proteins	0.6684178245894723	38	0	0.7525045018832438	
Transcriptional mediator complex	0.6684178245894723	38	0	0.7525045018832438	
Differentially expressed genes in different stages treated with cAMP	0.6740283405765843	198	4	0.7567896459282467	PBANKA_1101500, PBANKA_1322200, PBANKA_1433200, PBANKA_0312700
Epigenetic switching mechanisms	0.6779573911440544	39	0	0.7567896459282467	
Transporters of the ER/Golgi and digestive vacuole membranes	0.6779573911440544	39	0	0.7567896459282467	
Genes coding for apicoplast ribosome subunits	0.6779573911440544	39	0	0.7567896459282467	
mRNA-binding proteins in trophozoite and schizonts	0.6872248043481517	40	0	0.7639046246227875	
Initiation of translation	0.6872248043481517	40	0	0.7639046246227875	
Proteasome-mediated proteolysis of ubiquinated proteins	0.6914651301378276	83	1	0.7653953641777211	PBANKA_0517700
Genes coding for protein traffic related proteins	0.6914651301378276	83	1	0.7653953641777211	PBANKA_1414700
Doxycycline - effect of drug on gene transcription	0.6962277628333035	41	0	0.7690549346777913	
Transporters of the mitochondrial and apicoplast membranes	0.7049737493081698	42	0	0.7770900618678782	
Interactome of the Ser/Thr Protein Phosphatase type 1	0.7101848563323745	86	1	0.7812033419656119	PBANKA_1235600
Mitochondrial electron flow	0.7217236933252371	44	0	0.7906018881239112	
Chaperone network and protein quality control of the mitochondrion	0.7217236933252371	44	0	0.7906018881239112	
Genes encoding respiratory chain proteins	0.7297415898914064	45	0	0.797388178263785	
Transcription associated proteins implicated in the transcriptional machinery	0.7309391634084696	172	3	0.797388178263785	PBANKA_1135500, PBANKA_0203000, PBANKA_0312700
Proteins with ATPase activity	0.7352920446652038	444	10	0.8004828857386136	PBANKA_1235600, PBANKA_1359600, PBANKA_1340400, PBANKA_0203000, PBANKA_1034100, PBANKA_0310000, PBANKA_1210900, PBANKA_0615200, PBANKA_0708100, PBANKA_1034400
Enzymes involved in glycerophospholipid synthesis	0.7375304036967179	46	0	0.8012675990779157	
Lysine acetylated proteins	0.7470124300937003	673	16	0.8090969410592417	PBANKA_1441100, PBANKA_0805900, PBANKA_1224100, PBANKA_1012400, PBANKA_1235600, PBANKA_0938900, PBANKA_0404300, PBANKA_1030100, PBANKA_1362100, PBANKA_1210900, PBANKA_0811100, PBANKA_0306100, PBANKA_0940200, PBANKA_1034400, PBANKA_0409400, PBANKA_0202700
Interactome of mitochondrial 2-Cys peroxiredoxin	0.7478017182517234	135	2	0.8090969410592417	PBANKA_1414400, PBANKA_0824400
Modification of proteins by adenylylation and ADP-ribosylation	0.7524465604192366	48	0	0.812457635790096	
IMC (inner membrane complex) proteins	0.7595863413717688	49	0	0.818493037233253	
Effect of hyperoxia on gene expression	0.7611656811064	138	2	0.818524398419917	PBANKA_1414400, PBANKA_1101500
Genes encoding ubiquitin-related reactions	0.765888610554685	96	1	0.8209403179410736	PBANKA_0517700
RNA polymerase II transcribes mRNA	0.766521925653313	50	0	0.8209403179410736	
Methotrexate - effect of drug on gene transcription	0.779803504005046	52	0	0.8334741905155149	
Genes coding for components of the proteasome degradation machinery & their timed transcription	0.7854575711159972	100	1	0.837821409190397	PBANKA_0517700
Genes differentially expressed in severe malaria	0.795927114860721	189	3	0.8464263734044871	PBANKA_1034400, PBANKA_0310000, PBANKA_0312700
Functional annotation of merozoite invasion-related proteins	0.7983339658246867	55	0	0.8464263734044871	
The rab switch and its circuitry	0.7983339658246867	55	0	0.8464263734044871	
Splicing of pre-mRNA	0.8035885792381909	104	1	0.8491934157382978	PBANKA_0811100
Genes coding for mitochondrial ribosome subunits	0.8041604315703578	56	0	0.8491934157382978	
Subcellular localization of proteins involved in invasion	0.8258437839845487	60	0	0.8703503352172489	
Protein biosynthesis	0.8308817194117	61	0	0.873822548961893	
Post-translational modifications - 2- hydroxyisobutyrylation, acetylation and crotonylation	0.8324483752421065	243	4	0.873822548961893	PBANKA_1101500, PBANKA_1034400, PBANKA_1030100, PBANKA_1235600
SNAREs and their accessories	0.8357751393525812	62	0	0.8755739555122278	
Proteins of detergent-resistant membranes	0.8568434641468519	118	1	0.8958680179594808	PBANKA_1030100
Translation in prokaryotes � a template for apicoplast and mitochondrion	0.8701896532764345	70	0	0.9062330116961684	
Organellar ribosomal proteins	0.8701896532764345	70	0	0.9062330116961684	
Genes coding for transport proteins	0.8838053445988361	127	1	0.9175007681956022	PBANKA_0208300
Cell cycle compartment assocation between P. falciparum cell cycle perturbed transcriptomes	0.8857371702784167	176	2	0.9175007681956022	PBANKA_0940200, PBANKA_0203000
Peptidases and proteases	0.8864952744464932	128	1	0.9175007681956022	PBANKA_1034400
Alternative splicing events confirmed by RNA-Seq	0.887960023765062	75	0	0.9175007681956022	
Protein composition of affinity-purified exon and B-like complexes	0.8912132496086407	76	0	0.9190636636589107	
P. falciparum genes harboring G-quadruplexes	0.8932467777859963	270	4	0.9193651046218442	PBANKA_1300500, PBANKA_0409400, PBANKA_1034400, PBANKA_0517700
Total palmitome of Plasmodium falciparum	0.8965239299839677	358	6	0.9209428697111575	PBANKA_0414500, PBANKA_1235600, PBANKA_1304400, PBANKA_0310000, PBANKA_0208300, PBANKA_1034400
Nuclear genes with apicoplast signal sequences	0.9021634069560333	275	4	0.9249364638306516	PBANKA_1034400, PBANKA_0306100, PBANKA_0604700, PBANKA_0404300
Splicing and non-sense-mediated decay factors	0.9061266806979273	81	0	0.9271993942025303	
Ribosomal structure	0.9236589997736281	88	0	0.9433113189177479	
Genes coding for components involved in ribosome assembly	0.9345420991971992	151	1	0.9523072838799812	PBANKA_0811100
Maturation and export of 60S and 40S ribosomal subunits	0.9360747733592997	94	0	0.9523072838799812	
a-acetylated N-termini of parasite proteins	0.9785399419878047	495	7	0.9935944026337709	PBANKA_1441100, PBANKA_1414400, PBANKA_0203000, PBANKA_1030100, PBANKA_0517700, PBANKA_1010800, PBANKA_1034400
Plasmodium ubiquitin-protein conjugates	0.9848819332641081	514	7	0.9981145120219752	PBANKA_0414500, PBANKA_1235600, PBANKA_1030100, PBANKA_0310000, PBANKA_0307800, PBANKA_0208300, PBANKA_1034400
Important interacting proteins	0.9902485094974445	157	0	0.999977983761814	
Functional orthologs of known cell cycle proteins in E. coli	0.993200389712049	408	4	0.999977983761814	PBANKA_0310000, PBANKA_1322200, PBANKA_1030100, PBANKA_1144300
Protein-protein associations involving proteases	0.9956244017571072	761	11	0.999977983761814	PBANKA_0824400, PBANKA_1441100, PBANKA_1216800, PBANKA_1235600, PBANKA_1340400, PBANKA_0310000, PBANKA_0604700, PBANKA_1210900, PBANKA_1034400, PBANKA_0510600, PBANKA_0405600
Nuclear genes with mitochondrial signal sequences	0.9990338847889615	310	1	0.999977983761814	PBANKA_0414500
P. falciparum proteins with no orthologs in H. sapiens	0.9995600722707517	1816	34	0.999977983761814	PBANKA_1329000, PBANKA_0301400, PBANKA_1216800, PBANKA_1102300, PBANKA_1359600, PBANKA_0829400, PBANKA_1034800, PBANKA_1212600, PBANKA_0933800, PBANKA_1431200, PBANKA_0805500, PBANKA_1213200, PBANKA_0928900, PBANKA_1349400, PBANKA_0604700, PBANKA_1144300, PBANKA_1336500, PBANKA_1303100, PBANKA_0208300, PBANKA_0618400, PBANKA_0824400, PBANKA_1320100, PBANKA_0708200, PBANKA_1109600, PBANKA_1202300, PBANKA_1304500, PBANKA_1402400, PBANKA_1441100, PBANKA_0313600, PBANKA_1349700, PBANKA_1119200, PBANKA_0307800, PBANKA_1108200, PBANKA_0204200
Essential, Non-mutable genes	0.9998741433074458	884	10	0.999977983761814	PBANKA_1441100, PBANKA_0414500, PBANKA_1012400, PBANKA_1349400, PBANKA_1034100, PBANKA_1414700, PBANKA_0811100, PBANKA_0708100, PBANKA_1010800, PBANKA_1402400
Predicted RNA-binding proteins	0.999977983761814	957	10	0.999977983761814	PBANKA_1012400, PBANKA_1356200, PBANKA_0716500, PBANKA_0832500, PBANKA_1414400, PBANKA_1034100, PBANKA_0203000, PBANKA_1144300, PBANKA_0811100, PBANKA_0940200
