id	new_id	description	old_id	gene_name	transcript_length
1563	PBANKA_0806100	CCR4 domain-containing protein 4, putative	PBANKA_080610	CCR4-4	2475
1564	PBANKA_0806200	E3 ubiquitin-protein ligase RBX1, putative	PBANKA_080620	RBX1	324
1565	PBANKA_0806300	P4-type ATPase ATP7, putative	PBANKA_080630	ATPase7	5337
1566	PBANKA_0806400	conserved protein, unknown function	PBANKA_080640		1272
1567	PBANKA_0806500	triosephosphate isomerase, putative	PBANKA_080650		1059
1568	PBANKA_0806600	cleavage and polyadenylation specificity factor, putative	PBANKA_080660		2904
1569	PBANKA_0806700	conserved Plasmodium protein, unknown function	PBANKA_080670		13977
1570	PBANKA_0806800	coiled-coil domain-containing protein CCDC148/CCDC112, putative	PBANKA_080680		1839
1571	PBANKA_0806900	conserved Plasmodium protein, unknown function	PBANKA_080690		2745
1572	PBANKA_0807000	DNA-directed RNA polymerase II subunit RPB1, putative	PBANKA_080700	RPB1	6933
1573	PBANKA_0807100	stomatin-like protein	PBANKA_080710	STOML	1191
1574	PBANKA_0807200	conserved Plasmodium protein, unknown function	PBANKA_080720		657
1575	PBANKA_0807300	conserved protein, unknown function	PBANKA_080730		1980
1576	PBANKA_0807400	26S proteasome non-ATPase regulatory subunit 9, putative	PBANKA_080740		675
1577	PBANKA_0807500	conserved Plasmodium protein, unknown function	PBANKA_080750		7239
1578	PBANKA_0807600	40S ribosomal protein S11, putative	PBANKA_080760	RPS11	486
1579	PBANKA_0807700	kinesin-5	PBANKA_080770	EG5	4323
1580	PBANKA_0807800	DNA replication complex GINS protein, putative	PBANKA_080780		1467
1581	PBANKA_0807900	conserved Plasmodium protein, unknown function	PBANKA_080790		8523
1582	PBANKA_0808000	cdc2-related protein kinase 4, putative	PBANKA_080800	CRK4	4029
1583	PBANKA_0808100	6-cysteine protein	PBANKA_080810	B9	2559
1584	PBANKA_0808200	proteasome subunit alpha type-3, putative	PBANKA_080820		753
1585	PBANKA_0808300	E3 ubiquitin-protein ligase, putative	PBANKA_080830		1605
1586	PBANKA_0808380	conserved Plasmodium protein, unknown function	PBANKA_080840;PBANKA_080838		330
1587	PBANKA_0808420	tubulin-specific chaperone, putative	PBANKA_080840;PBANKA_080842		747
1588	PBANKA_0808500	conserved Plasmodium protein, unknown function	PBANKA_080850		240
1589	PBANKA_0808600	conserved Plasmodium protein, unknown function	PBANKA_080860		4020
1590	PBANKA_0808700	GTPase-activating protein, putative	PBANKA_080870		2676
1591	PBANKA_0808800	prefoldin-like protein, putative	PBANKA_080880		909
1592	PBANKA_0808900	ATP-dependent protease ATPase subunit ClpY, putative	PBANKA_080890	ClpY	2328
1593	PBANKA_0809000	translation initiation factor SUI1, putative	PBANKA_080900		2454
1594	PBANKA_0809100	proteasome activator 28, putative	PBANKA_080910	PA28	837
1595	PBANKA_0809200	ribosomal protein L35, apicoplast, putative	PBANKA_080920		543
1596	PBANKA_0809300	peptide deformylase, putative	PBANKA_080930	PDF	711
1597	PBANKA_0809400	plasma membrane protein 1	PBANKA_080940	PMP1	1215
1598	PBANKA_0809500	apicoplast integral membrane protein, putative	PBANKA_080950		1545
1599	PBANKA_0809600	conserved Plasmodium protein, unknown function	PBANKA_080960		4428
1600	PBANKA_0809700	conserved protein, unknown function	PBANKA_080970		903
1601	PBANKA_0809800	ribosomal RNA methyltransferase, putative	PBANKA_080980		1467
1602	PBANKA_0809900	tRNA pseudouridine synthase, putative	PBANKA_080990		915
1603	PBANKA_0810000	mitochondrial carrier protein, putative	PBANKA_081000		1533
1604	PBANKA_0810100	conserved Plasmodium protein, unknown function	PBANKA_081010		2142
1605	PBANKA_0810200	conserved Plasmodium protein, unknown function	PBANKA_081020		2046
1606	PBANKA_0810300	conserved Plasmodium protein, unknown function	PBANKA_081030		1827
1607	PBANKA_0810400	GDP-fucose protein O-fucosyltransferase 2	PBANKA_081040	POFUT2	1422
1608	PBANKA_0810500	apoptosis-related protein, putative	PBANKA_081050	ARP	396
1609	PBANKA_0810600	exoribonuclease, putative	PBANKA_081060		3882
1610	PBANKA_0810700	subpellicular microtubule protein 1, putative	PBANKA_081070	SPM1	990
1611	PBANKA_0810800	conserved protein, unknown function	PBANKA_081080		1689
1612	PBANKA_0810900	FHA domain protein, putative	PBANKA_081090		2790
1613	PBANKA_0811000	small nuclear ribonucleoprotein Sm D3, putative	PBANKA_081100	SNRPD3	351
1614	PBANKA_0811100	helicase SKI2W, putative	PBANKA_081110		4092
1615	PBANKA_0811200	histone-lysine N-methyltransferase SET4, putative	PBANKA_081120	SET4	3261
1616	PBANKA_0811300	exportin-7, putative	PBANKA_081130		3483
1617	PBANKA_0811400	conserved Plasmodium protein, unknown function	PBANKA_081140		7386
1618	PBANKA_0811500	conserved protein, unknown function	PBANKA_081150		1290
1619	PBANKA_0811600	selenide water dikinase, putative	PBANKA_081160		3033
1620	PBANKA_0811700	SNARE protein, putative	PBANKA_081170		600
1621	PBANKA_0811800	actin-like protein, putative	PBANKA_081180	ALP5a	1725
1622	PBANKA_0811900	cytosolic Fe-S cluster assembly factor NBP35, putative	PBANKA_081190	NBP35	1305
1623	PBANKA_0812000	DNA primase large subunit, putative	PBANKA_081200		1614
1624	PBANKA_0812100	phosphatidylinositol N-acetylglucosaminyltransferase, putative	PBANKA_081210		948
1625	PBANKA_0812200	START domain-containing protein, putative	PBANKA_081220		2571
1626	PBANKA_0812300	conserved Plasmodium protein, unknown function	PBANKA_081230		615
1627	PBANKA_0812400	cysteine repeat modular protein 1	PBANKA_081240	CRMP1	9264
1628	PBANKA_0812500	conserved Plasmodium protein, unknown function	PBANKA_081250		3585
1629	PBANKA_0812600	conserved Plasmodium protein, unknown function	PBANKA_081260		630
1630	PBANKA_0812700	conserved Plasmodium protein, unknown function	PBANKA_081270		1230
1631	PBANKA_0812800	GTP-binding protein, putative	PBANKA_081280		2835
1632	PBANKA_0812900	conserved Plasmodium protein, unknown function	PBANKA_081290		777
1633	PBANKA_0813000	inhibitor of cysteine proteases	PBANKA_081300	ICP	1065
1634	PBANKA_0813100	conserved Plasmodium protein, unknown function	PBANKA_081310		4593
1635	PBANKA_0813200	zinc finger protein, putative	PBANKA_081320		1257
1636	PBANKA_0813300	conserved protein, unknown function	PBANKA_081330		1368
1637	PBANKA_0813400	alkaline phosphatase, putative	PBANKA_081340		1362
1638	PBANKA_0813500	SAP domain-containing protein, putative	PBANKA_081350		744
1639	PBANKA_0813600	conserved Plasmodium protein, unknown function	PBANKA_081360		3036
1640	PBANKA_0813700	conserved Plasmodium protein, unknown function	PBANKA_081370		261
1641	PBANKA_0813800	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative	PBANKA_081380	GCD10	1725
1642	PBANKA_0813900	26S proteasome regulatory subunit RPN8, putative	PBANKA_081390	RPN8	960
1643	PBANKA_0814000	conserved protein, unknown function	PBANKA_081400		438
1644	PBANKA_0814100	heptatricopeptide repeat-containing protein, putative	PBANKA_081410		2331
1645	PBANKA_0814150	conserved protein, unknown function	NA		147
1646	PBANKA_0814200	elongation factor 1-beta, putative	PBANKA_081420		774
1647	PBANKA_0814300	conserved protein, unknown function	PBANKA_081430		1764
1648	PBANKA_0814400	elongation factor, putative	PBANKA_081440		528
1649	PBANKA_0814500	protein AMR4, putative	PBANKA_081450		1314
1650	PBANKA_0814600	conserved Plasmodium protein, unknown function	PBANKA_081460		3213
1651	PBANKA_0814700	conserved protein, unknown function	PBANKA_081470		1857
1652	PBANKA_0814800	conserved Plasmodium protein, unknown function	PBANKA_081480		228
1653	PBANKA_0814900	arginine--tRNA ligase, putative	PBANKA_081490	RRSapi	2667
1654	PBANKA_0815000	pseudouridylate synthase, putative	PBANKA_081500		2295
1655	PBANKA_0815100	conserved Plasmodium protein, unknown function	PBANKA_081510		3177
1656	PBANKA_0815200	phospholipid or glycerol acyltransferase, putative	PBANKA_081520		1296
1657	PBANKA_0815300	met-10+ like protein, putative	PBANKA_081530		2139
1658	PBANKA_0815400	protein KIC3, putative	PBANKA_081540		750
1659	PBANKA_0815500	conserved Plasmodium protein, unknown function	PBANKA_081550		4428
1660	PBANKA_0815600	transcription elongation factor 1, putative	PBANKA_081560	ELF1	309
1661	PBANKA_0815700	major facilitator superfamily-related transporter, putative	PBANKA_081570	MFR4	1476
1662	PBANKA_0815800	GINS complex subunit Psf3, putative	PBANKA_081580		624
1663	PBANKA_0815900	BSD-domain protein, putative	PBANKA_081590		1494
1664	PBANKA_0816000	type II NADH:ubiquinone oxidoreductase	PBANKA_081600	NDH2	1638
1665	PBANKA_0816100	SUMO-conjugating enzyme UBC9, putative	PBANKA_081610	UBC9	480
1666	PBANKA_0816200	ribonuclease H2 subunit C, putative	PBANKA_081620		942
2214	PBANKA_0932400	berghepain-2	PBANKA_093240	BP2	1407
1667	PBANKA_0816300	heptatricopeptide repeat-containing protein, putative	PBANKA_081630		2064
1668	PBANKA_0816400	ATP-dependent 6-phosphofructokinase, putative	PBANKA_081640	PFK9	3900
1669	PBANKA_0816500	conserved Plasmodium protein, unknown function	PBANKA_081650		2064
1670	PBANKA_0816600	conserved Plasmodium protein, unknown function	PBANKA_081660		705
1671	PBANKA_0816700	cytochrome c oxidase subunit ApiCOX30, putative	PBANKA_081670		573
1672	PBANKA_0816800	glycolipid transfer protein, putative	PBANKA_081680	GLTP	654
1673	PBANKA_0816900	conserved Plasmodium protein, unknown function	PBANKA_081690		471
1674	PBANKA_0817000	major facilitator superfamily domain-containing protein, putative	PBANKA_081700	MFS2	3762
1675	PBANKA_0817100	thioredoxin 3, putative	PBANKA_081710	TRX3	537
1676	PBANKA_0817200	conserved Plasmodium protein, unknown function	PBANKA_081720		3000
1677	PBANKA_0817300	conserved Plasmodium protein, unknown function	PBANKA_081730		840
1678	PBANKA_0817400	conserved Plasmodium protein, unknown function	PBANKA_081740		5658
1679	PBANKA_0817500	ubiquitin fusion degradation protein 1, putative	PBANKA_081750	UFD1	888
1680	PBANKA_0817600	methyltransferase, putative	PBANKA_081760		663
1681	PBANKA_0817700	RNA-binding protein musashi, putative	PBANKA_081770	HoMu	1035
1682	PBANKA_0817800	conserved Plasmodium protein, unknown function	PBANKA_081780		147
1683	PBANKA_0817900	zinc finger protein, putative	PBANKA_081790		834
1684	PBANKA_0818000	merozoite organizing protein, putative	PBANKA_081800	MOP	5529
1685	PBANKA_0818100	N-glycosylase/DNA lyase, putative	PBANKA_081810	OGG1	1683
1686	PBANKA_0818200	conserved protein, unknown function	PBANKA_081820		975
1687	PBANKA_0818300	conserved protein, unknown function	PBANKA_081830		1014
1688	PBANKA_0818400	conserved Plasmodium protein, unknown function	PBANKA_081840		4425
1689	PBANKA_0818500	conserved protein, unknown function	PBANKA_081850		1998
1690	PBANKA_0818600	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative	PBANKA_081860	PRP43	2349
1691	PBANKA_0818700	GPN-loop GTPase, putative	PBANKA_081870		1017
1692	PBANKA_0818800	conserved Plasmodium protein, unknown function	PBANKA_081880		1326
1693	PBANKA_0818900	endoplasmic reticulum chaperone BiP, putative	PBANKA_081890	BIP	1956
1694	PBANKA_0819000	glideosome-associated protein 50, putative	PBANKA_081900	GAP50	1188
1695	PBANKA_0819100	cytochrome b5, putative	PBANKA_081910		447
1696	PBANKA_0819200	50S ribosomal protein L3, apicoplast, putative	PBANKA_081920		948
1697	PBANKA_0819300	eukaryotic translation initiation factor 3 subunit F, putative	PBANKA_081930	EIF3F	942
1698	PBANKA_0819400	conserved Plasmodium protein, unknown function	PBANKA_081940		4821
1699	PBANKA_0819450	telomerase RNA	PBANKA_081945	TR	1447
1700	PBANKA_0819500	ATP-dependent DNA helicase Q1, putative	PBANKA_081950	RECQ1	1902
1701	PBANKA_0819600	conserved Plasmodium protein, unknown function	PBANKA_081960		1533
1702	PBANKA_0819700	dihydrouridine synthase, putative	PBANKA_081970		1596
1703	PBANKA_0819800	gamma-glutamylcysteine synthetase	PBANKA_081980	gammaGCS	2904
1704	PBANKA_0819900	nucleosome assembly protein	PBANKA_081990	NAPS	804
1705	PBANKA_0820000	DnaJ protein, putative	PBANKA_082000		1146
1706	PBANKA_0820100	PPPDE peptidase, putative	PBANKA_082010		732
1707	PBANKA_0820200	thioredoxin-like protein 1, putative	PBANKA_082020	TrxL1	621
1708	PBANKA_0820300	protein disulfide-isomerase PDI-Trans	PBANKA_082030	PDI-Trans	1530
1709	PBANKA_0820400	major facilitator superfamily domain-containing protein, putative	PBANKA_082040	MFS3	1464
1710	PBANKA_0820500	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1, putative	PBANKA_082050	WBP1	1557
1711	PBANKA_0820600	pyridoxal phosphate homeostasis protein, putative	PBANKA_082060		729
1712	PBANKA_0820700	TLD domain-containing protein	PBANKA_082070		3021
1713	PBANKA_0820800	regulator of chromosome condensation-PP1-interacting protein	PBANKA_082080	RCC-PIP	7557
1714	PBANKA_0820900	elongation of fatty acids protein, putative	PBANKA_082090	ELO-A	1632
1715	PBANKA_0821000	chaperone, putative	PBANKA_082100		738
1716	PBANKA_0821100	CS domain protein, putative	PBANKA_082110		2793
1717	PBANKA_0821200	conserved Plasmodium protein, unknown function	PBANKA_082120		561
1718	PBANKA_0821300	conserved Plasmodium protein, unknown function	PBANKA_082130		4419
1719	PBANKA_0821400	ADP-ribosylation factor, putative	PBANKA_082140		576
1720	PBANKA_0821500	conserved Plasmodium protein, unknown function	PBANKA_082150		3477
1721	PBANKA_0821600	CRAL/TRIO domain-containing protein, putative	PBANKA_082160		1509
1722	PBANKA_0821700	inosine-5'-monophosphate dehydrogenase, putative	PBANKA_082170		1524
1723	PBANKA_0821800	U4/U6 snRNA-associated-splicing factor, putative	PBANKA_082180	PRP24	1476
1724	PBANKA_0821900	ubiquitin-conjugating enzyme E2, putative	PBANKA_082190		492
1725	PBANKA_0822000	conserved Plasmodium protein, unknown function	PBANKA_082200		717
1726	PBANKA_0822100	conserved Plasmodium protein, unknown function	PBANKA_082210		6234
1727	PBANKA_0822200	RAP protein, putative	PBANKA_082220		1458
1728	PBANKA_0822300	NifU-like scaffold protein	PBANKA_082230	NifU	732
1729	PBANKA_0822400	conserved Plasmodium protein, unknown function	PBANKA_082240		1314
1730	PBANKA_0822500	tetratricopeptide repeat protein, putative	PBANKA_082250		4857
1731	PBANKA_0822600	conserved protein, unknown function	PBANKA_082260		1497
1732	PBANKA_0822700	ribosome production factor 1, putative	PBANKA_082270	RPF1	1002
1733	PBANKA_0822800	conserved Plasmodium protein, unknown function	PBANKA_082280		663
1734	PBANKA_0822900	dynein intermediate chain, putative	PBANKA_082290		2394
1735	PBANKA_0823000	ubiquitin-like protein, putative	PBANKA_082300		4155
1736	PBANKA_0823100	S-adenosylmethionine synthetase, putative	PBANKA_082310	SAMS	1209
1737	PBANKA_0823200	conserved protein, unknown function	PBANKA_082320		927
1738	PBANKA_0823300	para-aminobenzoic acid synthetase, putative	PBANKA_082330		2868
1739	PBANKA_0823400	phosphoglycerate kinase, putative	PBANKA_082340	PGK	1251
1740	PBANKA_0823500	glutamine synthetase, putative	PBANKA_082350		1662
1741	PBANKA_0823600	pre-mRNA-splicing factor 18, putative	PBANKA_082360	PRP18	1029
1742	PBANKA_0823700	conserved Plasmodium protein, unknown function	PBANKA_082370		11175
1743	PBANKA_0823800	3-oxoacyl-[acyl-carrier-protein] reductase, putative	PBANKA_082380	FabG	903
1744	PBANKA_0823900	DNA-directed RNA polymerase II subunit RPB3, putative	PBANKA_082390	RPB3	1008
1745	PBANKA_0824000	OTU domain-containing protein, putative	PBANKA_082400		696
1746	PBANKA_0824100	nitric oxide synthase, putative	PBANKA_082410	NOS	2256
1747	PBANKA_0824200	perforin-like protein 3	PBANKA_082420	PLP3	2448
1748	PBANKA_0824300	conserved Plasmodium protein, unknown function	PBANKA_082430		2973
1749	PBANKA_0824400	cyclin-dependent kinases regulatory subunit, putative	PBANKA_082440		792
1750	PBANKA_0824500	lipoate-protein ligase 2	PBANKA_082450	LplA2	1164
1751	PBANKA_0824600	conserved protein, unknown function	PBANKA_082460		816
1752	PBANKA_0824700	thioredoxin reductase, putative	PBANKA_082470	TRXR	1929
1753	PBANKA_0824800	polyadenylate-binding protein 2, putative	PBANKA_082480	PABP2	600
1754	PBANKA_0824900	patatin-like phospholipase, putative	PBANKA_082490		3204
1755	PBANKA_0825000	conserved Plasmodium protein, unknown function	PBANKA_082500		1791
1756	PBANKA_0825100	heptatricopeptide repeat-containing protein, putative	PBANKA_082510		2646
1757	PBANKA_0825200	thiamine pyrophosphokinase, putative	PBANKA_082520	TPK	1119
1758	PBANKA_0825300	conserved Plasmodium protein, unknown function	PBANKA_082530		1965
1759	PBANKA_0825400	conserved Plasmodium protein, unknown function	PBANKA_082540		3492
1760	PBANKA_0825500	conserved Plasmodium protein, unknown function	PBANKA_082550		5193
1761	PBANKA_0825600	splicing factor 3A subunit 3, putative	PBANKA_082560	SF3A3	1731
1762	PBANKA_0825700	telomeric repeat binding factor 1, putative	PBANKA_082570	TRF1	264
1763	PBANKA_0825800	conserved Plasmodium protein, unknown function	PBANKA_082580		657
1764	PBANKA_0825900	conserved Plasmodium protein, unknown function	PBANKA_082590		1059
1765	PBANKA_0826000	ribosomal RNA-processing protein 8, putative	PBANKA_082600	RRP8	942
1766	PBANKA_0826100	proline--tRNA ligase, putative	PBANKA_082610	aPRS	1668
1767	PBANKA_0826200	protein phosphatase-beta, putative	PBANKA_082620		1455
1768	PBANKA_0826300	thioredoxin-like protein 2, putative	PBANKA_082630	TLP2	384
1769	PBANKA_0826400	zinc binding protein (Yippee), putative	PBANKA_082640		387
1770	PBANKA_0826500	histone deacetylase 1, putative	PBANKA_082650	HDAC1	1344
1771	PBANKA_0826600	regulator of nonsense transcripts 2, putative	PBANKA_082660	UPF2	4110
1772	PBANKA_0826700	parasitophorous vacuolar protein 5	PBANKA_082670	PV5	669
1773	PBANKA_0826800	protein kinase, putative	PBANKA_082680		3783
1774	PBANKA_0826900	protein kinase, putative	PBANKA_082690		8796
1775	PBANKA_0827000	conserved Plasmodium protein, unknown function	PBANKA_082700		156
1776	PBANKA_0827100	protein kinase, putative	PBANKA_082710		3333
1777	PBANKA_0827200	monocarboxylate transporter, putative	PBANKA_082720		1542
1778	PBANKA_0827300	tetratricopeptide repeat protein, putative	PBANKA_082730		4371
1779	PBANKA_0827400	conserved Plasmodium protein, unknown function	PBANKA_082740		3957
1780	PBANKA_0827500	glutamine-dependent NAD(+) synthetase, putative	PBANKA_082750	NADSYN	2631
1781	PBANKA_0827600	conserved Plasmodium protein, unknown function	PBANKA_082760		3312
1782	PBANKA_0827700	replication termination factor, putative	PBANKA_082770		645
1783	PBANKA_0827800	HSP90 co-chaperone p23, putative	PBANKA_082780	P23	468
1784	PBANKA_0827900	conserved protein, unknown function	PBANKA_082790		579
1785	PBANKA_0828000	zinc finger protein, putative	PBANKA_082800		3702
1786	PBANKA_0828100	fumarate hydratase, putative	PBANKA_082810	FH	2028
1787	PBANKA_0828200	conserved Plasmodium protein, unknown function	PBANKA_082820		2388
1788	PBANKA_0828300	dynein light chain, putative	PBANKA_082830		339
1789	PBANKA_0828400	RNA-binding protein, putative	PBANKA_082840		1527
1790	PBANKA_0828500	serine/threonine protein phosphatase 4	PBANKA_082850	PPP4	927
1791	PBANKA_0828600	cytochrome c oxidase subunit 5B, putative	PBANKA_082860	COX5B	825
1792	PBANKA_0828700	phosphatidylserine decarboxylase, putative	PBANKA_082870	PSD	1062
1793	PBANKA_0828800	cytochrome c oxidase subunit 6B, putative	PBANKA_082880	COX6B	312
1794	PBANKA_0828900	conserved Plasmodium protein, unknown function	PBANKA_082890		1125
1795	PBANKA_0828950	conserved Plasmodium protein, unknown function	NA		234
1796	PBANKA_0829000	conserved Plasmodium protein, unknown function	PBANKA_082900		1899
1797	PBANKA_0829100	conserved Plasmodium protein, unknown function	PBANKA_082910		591
1798	PBANKA_0829200	conserved protein, unknown function	PBANKA_082920		672
1799	PBANKA_0829300	conserved Plasmodium protein, unknown function	PBANKA_082930		396
1800	PBANKA_0829400	conserved Plasmodium protein, unknown function	PBANKA_082940		327
1801	PBANKA_0829500	conserved Plasmodium protein, unknown function	PBANKA_082950		3669
1802	PBANKA_0829600	serine/threonine protein kinase, putative	PBANKA_082960		1803
1803	PBANKA_0829700	guanylate kinase, putative	PBANKA_082970	GK	606
1804	PBANKA_0829800	transcription initiation factor TFIID subunit 7, putative	PBANKA_082980	TAF7	1167
1805	PBANKA_0829900	conserved protein, unknown function	PBANKA_082990		870
1806	PBANKA_0830000	RNA-binding protein, putative	PBANKA_083000		840
1807	PBANKA_0830100	conserved Plasmodium protein, unknown function	PBANKA_083010		1830
1808	PBANKA_0830200	high molecular weight rhoptry protein 2	PBANKA_083020	RhopH2	4065
1809	PBANKA_0830300	CH domain-containing protein, putative	PBANKA_083030		618
1810	PBANKA_0830400	G2 protein	PBANKA_083040		819
1811	PBANKA_0830450	conserved Plasmodium protein, unknown function	PBANKA_083045;PBANKA_083050		1035
1812	PBANKA_0830500	conserved Plasmodium protein, unknown function	PBANKA_083050		297
1813	PBANKA_0830600	conserved Plasmodium protein, unknown function	PBANKA_083060		501
1814	PBANKA_0830700	procollagen lysine 5-dioxygenase, putative	PBANKA_083070		1575
1815	PBANKA_0830800	heptatricopeptide repeat-containing protein, putative	PBANKA_083080		3234
1816	PBANKA_0830900	leucine-rich repeat protein	PBANKA_083090	LRR8	1914
1817	PBANKA_0831000	merozoite surface protein 1	PBANKA_083100	MSP1	5376
1818	PBANKA_0831100	zinc finger protein, putative	PBANKA_083110		2355
1819	PBANKA_0831200	diacylglycerol kinase, putative	PBANKA_083120		3819
1820	PBANKA_0831300	peptidyl-prolyl cis-trans isomerase, putative	PBANKA_083130	CYP72	1782
1821	PBANKA_0831400	conserved Plasmodium protein, unknown function	PBANKA_083140		1248
1822	PBANKA_0831500	conserved Plasmodium protein, unknown function	PBANKA_083150		12465
1823	PBANKA_0831600	conserved Plasmodium protein, unknown function	PBANKA_083160		1263
1824	PBANKA_0831700	NifU-like protein, putative	PBANKA_083170	NFU1	576
1825	PBANKA_0831800	elongation factor Tu, putative	PBANKA_083180		2391
1826	PBANKA_0831900	nucleolar protein Nop52, putative	PBANKA_083190		1641
1827	PBANKA_0832000	selenoprotein, putative	PBANKA_083200	Sel2	687
1828	PBANKA_0832100	conserved Plasmodium protein, unknown function	PBANKA_083210		1644
1829	PBANKA_0832200	PUB domain-containing protein, putative	PBANKA_083220		903
1830	PBANKA_0832300	conserved Plasmodium protein, unknown function	PBANKA_083230		627
1831	PBANKA_0832400	conserved protein, unknown function	PBANKA_083240		753
1832	PBANKA_0832500	PIH1 domain-containing protein, putative	PBANKA_083250		1962
1833	PBANKA_0832600	proteasome subunit beta type-6, putative	PBANKA_083260		828
1834	PBANKA_0832700	adenylate kinase-like protein 2, putative	PBANKA_083270	AKLP2	825
1835	PBANKA_0832800	conserved Plasmodium protein, unknown function	PBANKA_083280		306
1836	PBANKA_0832900	protein MAM3, putative	PBANKA_083290		2919
1837	PBANKA_0833000	profilin	PBANKA_083300	PFN	525
1838	PBANKA_0833100	M18 aspartyl aminopeptidase, putative	PBANKA_083310	M18AAP	1482
1839	PBANKA_0833200	peptide chain release factor 1, putative	PBANKA_083320	RF1	1263
1840	PBANKA_0833300	palmitoyltransferase DHHC6, putative	PBANKA_083330	DHHC6	1569
1841	PBANKA_0833400	apicoplast ribosomal protein S6, putative	PBANKA_083340	RPS6	666
1842	PBANKA_0833500	conserved Plasmodium protein, unknown function	PBANKA_083350		2865
1843	PBANKA_0833600	importin alpha re-exporter, putative	PBANKA_083360	CSE1	3873
1844	PBANKA_0833700	conserved Plasmodium protein, unknown function	PBANKA_083370		651
1845	PBANKA_0833800	CSTF domain-containing protein, putative	PBANKA_083380		2178
1846	PBANKA_0833900	conserved Plasmodium protein, unknown function	PBANKA_083390		2151
1847	PBANKA_0834000	calcyclin-binding protein, putative	PBANKA_083400		651
1848	PBANKA_0834100	conserved Plasmodium protein, unknown function	PBANKA_083410		2676
1849	PBANKA_0834200	conserved Plasmodium protein, unknown function	PBANKA_083420		813
1850	PBANKA_0834300	gamma-tubulin complex component, putative	PBANKA_083430		3729
1851	PBANKA_0834400	mitochondrial-processing peptidase subunit beta, putative	PBANKA_083440	QCR1	1440
1852	PBANKA_0834500	conserved Plasmodium protein, unknown function	PBANKA_083450		603
1853	PBANKA_0834600	tubulin delta chain, putative	PBANKA_083460		2121
1854	PBANKA_0834700	conserved Plasmodium protein, unknown function	PBANKA_083470		837
1855	PBANKA_0834800	histidine--tRNA ligase, putative	PBANKA_083480		1662
1856	PBANKA_0834900	TFIIH basal transcription factor complex helicase XPD subunit, putative	PBANKA_083490	XPD	2949
1857	PBANKA_0835000	conserved protein, unknown function	PBANKA_083500		447
1858	PBANKA_0835100	ATP synthase-associated protein, putative	PBANKA_083510		417
1859	PBANKA_0835200	AP2 domain transcription factor, putative	PBANKA_083520	ApiAP2	636
1860	PBANKA_0835300	V-type proton ATPase subunit E, putative	PBANKA_083530		708
1861	PBANKA_0835400	conserved Plasmodium protein, unknown function	PBANKA_083540		570
1862	PBANKA_0835500	UBX domain-containing protein, putative	PBANKA_083550		1329
1863	PBANKA_0835600	cAMP-dependent protein kinase catalytic subunit, putative	PBANKA_083560	PKAc	1026
1864	PBANKA_0835700	conserved Plasmodium protein, unknown function	PBANKA_083570		1464
1865	PBANKA_0835800	U2 small nuclear ribonucleoprotein B'', putative	PBANKA_083580	SNRPB2	579
1866	PBANKA_0835900	protein kish, putative	PBANKA_083590	KSH1	219
1867	PBANKA_0836000	vacuolar protein sorting-associated protein 33, putative	PBANKA_083600	VPS33	3495
1868	PBANKA_0836100	phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative	PBANKA_083610		366
1869	PBANKA_0836200	conserved Plasmodium protein, unknown function	PBANKA_083620		2097
1870	PBANKA_0836300	cytoadherence linked asexual protein 9	PBANKA_083630	CLAG9	4050
1871	PBANKA_0836400	Plasmodium exported protein, unknown function	PBANKA_083640		366
1872	PBANKA_0836500	conserved rodent malaria protein, unknown function	PBANKA_083650		669
1873	PBANKA_0836550	PIR protein, pseudogene	PBANKA_083655		468
1874	PBANKA_0836600	fam-b protein	PBANKA_083660		510
1875	PBANKA_0836700	fam-a protein	PBANKA_083670		1260
1876	PBANKA_0836800	erythrocyte membrane associated protein 1	PBANKA_083680	EMAP1	993
1877	PBANKA_0836850	PIR protein, pseudogene	PBANKA_083685		933
1878	PBANKA_0836900	PIR protein	PBANKA_083690		1020
1879	PBANKA_0836921	PIR protein	NA		954
1880	PBANKA_0836941	fam-b protein	PBANKA_000550		741
1881	PBANKA_0836961	PIR protein	PBANKA_000540		1023
1882	PBANKA_0836981	PIR protein	PBANKA_000530		1935
1883	PBANKA_0837001	PIR protein	PBANKA_000430		939
1884	PBANKA_0837021	PIR protein, pseudogene	PBANKA_000470		2007
1885	PBANKA_0837041	fam-b protein	NA		777
1886	PBANKA_0837061	tryptophan-rich protein, fragment	NA		312
1887	PBANKA_0837081	PIR protein	PBANKA_000310		843
1888	PBANKA_0837101	PIR protein	NA		990
1889	PBANKA_0837121	PIR protein	PBANKA_000010		927
1890	PBANKA_0837141	PIR protein	PBANKA_000210		981
1891	PBANKA_0837161	PIR protein	PBANKA_000320		927
1892	PBANKA_0837181	PIR protein	PBANKA_146610		888
1893	PBANKA_0837201	fam-a protein	NA		1059
1894	PBANKA_0900600	PIR protein	PBANKA_090060		960
1895	PBANKA_0900900	reticulocyte binding protein, putative	PBANKA_090090;PBANKA_090080	Pb235	8322
1896	PBANKA_0901000	fam-a protein	PBANKA_090100		984
1897	PBANKA_0901100	serine/threonine protein kinase, putative	PBANKA_090110		3948
